Video analysis detailed log

Face Model:	General
Calibration:	-
Start time:	11/3/2017 14:09:41.541
Filename:	H:\Best DB's\Test Movies - CK\1\S051#001.mp4
Frame rate:	20.00

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Gender	Age	Beard	Moustache	Glasses	Ethnicity	Mouth	Left Eye	Right Eye	Left Eyebrow	Right Eyebrow	Identity	Stimulus	Event Marker	Participant Name	Analysis Index
00:00:00.000	0.702872500	0.093431440	0.088039940	0.103739900	0.114061000	0.112121900	0.040501520	Female	20 - 30	None	None	No	African	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.050	0.702872500	0.093431440	0.088039940	0.103739900	0.114061000	0.112121900	0.040501520	Female	20 - 30	None	None	No	African	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.100	0.702872500	0.093431440	0.088039940	0.103739900	0.114061000	0.112121900	0.040501520	Female	20 - 30	None	None	No	African	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	FIT_FAILED	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.150	0.701370400	0.083892760	0.093070420	0.092333590	0.102734900	0.102627800	0.035641910	Female	20 - 30	None	None	No	African	Open	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.200	0.696559500	0.076279550	0.099448490	0.082821620	0.092678030	0.094431810	0.031512470	Female	20 - 30	None	None	No	African	Open	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.250	0.691095200	0.072738920	0.105357000	0.074360160	0.083544020	0.087005180	0.027955880	Female	20 - 30	None	None	No	African	Closed	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.300	0.685049600	0.073654760	0.110151300	0.067063400	0.076040360	0.080464450	0.024895300	Female	20 - 30	None	None	No	African	Closed	Open	Open	Neutral	Neutral	NO IDENTIFICATION	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.350	0.678618200	0.075163460	0.114711900	0.060678000	0.069542300	0.074799600	0.022276020	Female	20 - 30	None	None	No	African	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.400	0.671697100	0.081225680	0.116945000	0.055101910	0.063826480	0.069858720	0.019951540	Female	20 - 30	None	None	No	African	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.450	0.660266400	0.092202780	0.117914000	0.050286190	0.058968730	0.065895950	0.017871350	Female	20 - 30	None	None	No	African	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.500	0.643986600	0.107618300	0.117571900	0.045955210	0.054809880	0.064327570	0.015988650	Female	20 - 30	None	None	No	African	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.550	0.625162600	0.124123700	0.116368300	0.042388630	0.051466400	0.064998250	0.014269490	Female	20 - 30	None	None	No	African	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker	Participant 10	Analysis 1
00:00:00.600	0.603297700	0.143556700	0.113562300	0.039051320	0.049079680	0.068977690	0.012749680	Female	20 - 30	None	None	No	African	Open	Open	Open	Neutral	Neutral	unknown person	No Stimulus	No Event Marker	Participant 10	Analysis 1
