abnormality,-0.009557001,0.007071449,-0.007886718,-0.007713131,0.01779476,0.000656941,0.014547906,0.005740052,0.01171498,0.016293168,0.002952247,-0.00384199,0.003077101,0.017897021,0.013484051,-0.019262128,-0.005030353,-0.000695293,0.00041012,-0.011460988,0.01308288,0.018976003,-0.012737007,0.004194644,0.013422268
acceptance,0.006723858,0.00711266,0.014563342,0.000532588,0.004586459,-0.009768291,0.007496842,-0.002022177,-0.008688391,-0.007436308,-0.018112358,0.016347889,0.01694471,0.004594117,0.019754628,0.008031658,0.010891921,0.004341275,-0.004209603,0.013252521,0.014151713,-0.012949888,-0.018646432,0.016629374,0.012799961
acknowledgment,-0.014794702,0.015208858,-0.016192134,-0.009969519,0.016177054,-0.007955741,-0.001433608,-0.006679509,0.004010622,0.014772806,-0.000887338,-0.000874195,-0.012451525,0.011104943,0.012182955,-0.005471733,0.017430997,-0.015546984,0.015595515,0.00901833,-0.009059398,-0.017034868,0.004574454,-0.005191726,-0.015258887
admiration,0.014660336,-0.009194554,-0.005017417,0.009115342,0.004968141,-0.009006493,-0.013650597,-0.007637539,-0.003273893,0.01738259,0.01861257,0.003575819,-0.008707949,0.009447395,-0.018872296,0.014785001,-0.003759641,0.010609999,0.000648369,-0.015443436,-0.017308367,-0.019378241,0.005755799,-0.014600574,0.011375901
aggravation,-0.001165322,0.005238727,0.012086485,-0.011704709,-0.006465285,0.008648461,-0.016680587,-0.019208636,-0.000153102,-0.016462088,0.004802881,-0.008289282,0.005961786,-0.002134455,0.012331585,-0.001662131,-0.013422763,0.007111825,-0.010721575,0.002774447,-0.019104818,0.000969673,-0.019632224,0.008796994,-0.014118678
aghast,0.009455115,-0.008653764,-0.01608851,-5.39E-05,0.015485993,-0.005020324,-0.010366214,-0.013313801,0.003271973,-0.010062385,-0.003737703,-0.006984041,-0.014266614,-0.007822841,0.000651088,-0.010096026,0.015819957,-0.001958934,-0.011370893,0.005252114,-0.00361857,-0.007504928,-0.002957992,-0.007085255,-0.000454453
agitation,0.01836658,-0.008308269,0.003951089,-0.003061602,0.007655177,0.019361384,0.009663635,0.015436016,0.007085029,0.013001506,0.010292747,0.011846352,0.002535446,-0.007670668,-0.009941884,0.005423111,0.012480038,0.007992112,0.006891658,-0.010967554,0.008460403,0.013924295,0.010703952,0.019323776,-0.019046403
agony,-0.005764874,-0.01055501,0.002957183,-0.009075299,0.010327039,-0.017203394,0.012019266,0.010053852,0.010071134,-0.015980763,0.007834495,0.010135653,0.007325162,0.019501293,0.003308923,0.010362171,-0.004613888,-0.000227516,-0.00384486,-0.008494589,0.002978774,-0.018502625,-0.002911511,-0.003851165,-0.013357895
agreement,-8.49E-05,0.020345833,0.020256622,0.000824252,-0.005524836,-0.024257813,0.030084694,-0.009195939,-0.008027,-0.008619228,0.042746104,-0.00468623,0.014212059,0.007002086,0.012015821,-0.012223424,0.001620902,0.004096899,-0.007023688,-0.003907274,0.003358324,0.024523463,-0.031020975,0.018871449,0.003767959
alarm,-0.01857112,0.035029024,0.015188844,-0.019374222,-0.029739201,-0.016624559,0.046539057,-0.032346904,0.000450776,-0.02262536,0.043449398,-0.005423467,0.023526488,0.010093724,-0.012046718,-0.009105057,0.005895595,-0.017396763,-0.030669302,-0.001145596,-0.025310855,0.012598323,2.92E-06,0.007193441,-0.007678295
alertness,0.017656073,0.012910594,-0.016954748,-0.012605362,-0.012254288,-0.011131475,-0.004829766,0.002490118,0.014061461,-0.000708429,-0.007208691,-0.006528364,0.006314332,-0.007819642,-0.015843892,0.008152466,-0.0168082,0.010051993,0.004080022,0.013886388,0.002930574,0.004855431,-0.008273125,0.018080417,0.003446658
amazement,0.013006026,0.004383388,0.010417195,-0.013840553,-0.009789572,-0.010482352,0.009158096,0.014869314,0.019107182,0.005814089,-0.014744207,0.008475196,-0.000875612,-0.00156892,0.019542864,-0.002646332,0.018937234,-0.009665323,-0.005543642,0.000904738,0.001225526,0.004589124,-0.009777382,-0.005819468,0.014362449
ambivalence,0.0124341,-0.01516547,-0.019620141,0.015848946,0.00687195,-0.007836211,0.010061828,-0.009448479,-0.005676155,-0.002959484,0.015537965,-0.003504419,0.000720297,-0.00639903,0.013131834,0.013117191,-0.003206368,-0.013973006,-0.012517072,-0.010106516,-0.003529348,0.01911433,0.010558357,0.01662747,0.003775821
ambush,-0.000405471,-0.01929827,0.008291438,-0.019251563,-0.002683631,-0.008092124,0.008440767,-0.010300272,0.009230077,-0.015281904,0.010323293,0.009922141,0.002473417,-0.009341595,0.009401014,-0.002464428,-0.006802525,0.015637303,-0.010151927,-0.010587615,-0.017429106,0.01524237,0.006203974,-0.015452934,2.31E-05
amiss,0.01833134,0.003312667,0.00305873,0.006968955,-0.013025504,-0.018658599,-0.010196615,-0.013362206,-0.018057218,0.004209247,-0.01630685,-0.00690737,-0.009757979,-0.011597123,0.000359421,0.000803855,0.001450273,0.01719607,0.003601847,0.019638207,-0.006604004,0.0007121,-0.00192615,-0.004934167,0.013321765
amusement,-0.012547304,0.003602504,0.013848129,0.011290851,-0.006527815,-0.00751097,-0.0002139,0.016340224,0.01715594,-0.016884662,0.015288206,-0.018745685,-0.019858025,-0.004337012,0.013484746,-0.011631074,-0.01173857,-0.003178651,-0.012751818,-0.01754038,0.014270533,-0.014085368,0.007865462,-0.017955355,0.019524843
anger,-0.014958807,0.019726029,0.003940561,0.017451592,-0.010580405,0.003319133,0.008875341,-0.011450789,0.008425389,-0.01829518,0.020350592,0.006600841,0.000410909,0.003515182,-0.000677438,0.007824643,-0.011462265,0.000640213,0.006819891,0.005336884,0.003224219,0.014726218,-0.025139477,-0.018958965,0.002296448
anguish,-0.011165372,-0.00547563,0.013857775,0.017439391,0.000493394,-0.006585864,0.005883921,0.012786311,-0.009170396,-0.014827513,-0.013322766,-0.002618098,-0.019180806,-0.004659904,0.017426636,0.013922758,0.013825907,-0.011067487,0.005817819,-0.00453927,-0.008242253,-0.018046975,-0.012931389,0.017089773,-0.0022376
